DOW,SP100,NAV
12044.47,1261.15,10.07
11983.24,1253.23,10.03
12068.39,1261.12,10.03
12170.18,1275.92,10.18
11780.94,1229.1,9.7
11893.79,1239.69,9.81
12153.68,1263.85,10.04
12078.98,1251.78,9.89
12096.16,1257.81,9.99
11905.59,1236.91,9.81
11770.73,1216.13,9.64
11796.16,1215.65,9.67
11547.31,1192.98,9.44
11493.72,1188.04,9.37
11257.55,1161.79,9.07
11231.78,1158.67,8.99
11523.01,1192.55,9.36
11555.63,1195.19,9.35
12045.68,1246.96,9.9
12020.03,1244.58,9.83
12019.42,1244.28,9.91
12097.83,1257.08,10.06
12150.13,1258.47,10.04
12196.37,1261.01,10.05
11997.7,1234.35,9.72
12184.26,1255.19,10.01
12021.39,1236.47,9.84
11954.94,1225.73,9.64
11823.48,1211.82,9.53
11868.81,1215.75,9.63
11866.39,1219.66,9.71
11766.26,1205.35,9.23
12103.58,1241.3,9.62
12107.74,1243.72,9.7
12169.65,1254,9.79
12294,1265.33,9.83
12291.35,1265.43,9.85
12151.41,1249.64,9.65
12287.04,1263.02,9.79
